country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;income;mortgage;mobile_car_sport
France;7/20/1973;Private;Bachelors;Married; Male;17;19340;1862;true;Samsung, Seat, Basketball
Germany;10/14/1982;Private;Bachelors;Married; Male;33,5;9081;671;true;Samsung, Honda, Football
Germany;1/12/1977;Private;Doctorate;Married; Male;16,5;6838;1325;true;Others, Others, Football
Germany;11/18/1989;Public;Bachelors;Never Married; Male;21;4522;1063;false;iPhone, Others, Tennis
Portugal;4/20/1977;Public;Bachelors;Married; Female;20;21558;2530;false;Samsung, Audi, Basketball
France;9/11/1989;Public;High School;Married; Female;36,5;3111;773;false;Iphone, BMW, Basketball
France;2/15/1981;Self Employed;Masters;Married; Female;39;9152;513;true;iPhone, BMW, Non
Italy;12/14/1970;Self Employed;Bachelors;Divorced; Male;19,5;9796;1699;false;iPhone, Others, Non
Spain;4/30/1985;Unknown;High School;Separated; Female;20;34562;2408;true;Iphone, Audi, Non
France;8/1/1983;Private;Bachelors;Married; Male;35,5;3031;1313;false;Samsung, Others, Football
Germany;9/28/1981;Unknown;Doctorate;Married; Male;35,5;9392;898;false;iPhone, Others, Basketball
Germany;6/2/1978;Unknown;Bachelors;Married; Male;39;7343;660;false;iPhone, Others, Football
Germany;4/2/1986;Unknown;Bachelors;Married; Female;19;13612;1808;false;iPhone, Others, Non
Portugal;8/31/1972;Self Employed;Bachelors;Married; Male;23;8913;803;true;iPhone, Seat, Non
France;8/2/1983;Private;Masters;Married; Male;27;8764;888;true;Others, BMW, Basketball
Italy;6/26/1989;Unknown;Bachelors;Divorced; Male;10;8791;434;true;Samsung, BMW, Football
Italy;11/22/1978;Self Employed;High School;Married; Male;31;4769;1032;false;Samsung, Others, Football
Portugal;6/8/1977;Unknown;High School;Married; Male;34,5;8574;1357;true;iPhone, Honda, Non
France;4/9/1973;Private;High School;Married; Male;16,5;9669;919;false;Samsung, Audi, Non
Portugal;7/16/1989;Unknown;Doctorate;Never Married; Female;22,5;6364;1243;false;iPhone, Others, Non
Spain;3/21/1971;Private;Doctorate;Married; Male;25;3971;996;true;Samsung, Others, Basketball
Portugal;3/15/1986;Self Employed;Bachelors;Divorced; Female;39,5;6291;648;false;Samsung, Ford, Non
